year,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode
1921,0.8958234375000000,0.42566093750000000,229911.9140625,0.23678359375000000,0.3223301102343750,0.2158140625,-17.0954375,0.07725781250000000,100.39775781250000,0.42549453125,0.3515625,7,1
1922,0.9392361111111110,0.4800000000000000,167904.54166666700,0.23702625000000000,0.44046994097222200,0.2386472222222220,-19.17995833333330,0.11541944444444400,101.37613888888900,0.5340555555555560,0.1388888888888890,10,1
1923,0.9763289408284030,0.5684615384615380,178356.30177514800,0.24693609467455600,0.40193248236686400,0.2366556213017750,-14.373881656804700,0.09861893491124260,112.45659763313600,0.6247875739644970,5.727810650887570,0,1
1924,0.9355745443037990,0.5486540084388190,188461.64978903000,0.3470329113924050,0.583954694599156,0.23787468354430400,-14.202303797468400,0.09020970464135020,120.65335864978900,0.6685738396624480,0.6033755274261600,10,1
1925,0.965422053231941,0.5718897338403040,184130.69961977200,0.2643726235741450,0.4088934084410650,0.2430935361216730,-14.516707224334600,0.11545741444866900,115.67171482889700,0.6164304182509500,2.7072243346007600,5,1
1926,0.7409195938215140,0.5582951945080100,170391.50114416500,0.23919493135011400,0.4685052737414190,0.2340525171624710,-16.410621281464500,0.30667242562929100,108.49657322654500,0.4959614530892450,1.6132723112128100,5,1
1927,0.9346063229194660,0.6499597315436240,185163.19966443000,0.25615872483221500,0.40227578375838900,0.16777852348993300,-14.72681208053690,0.11619748322147700,114.61146476510000,0.6606590604026850,0.8322147651006710,7,1
1928,0.9461880059171610,0.5296956889264570,217498.31191885000,0.20714274725274700,0.516979011048182,0.17798833474218100,-17.31619273034660,0.1353132713440400,106.19524598478500,0.49295359256128500,1.536770921386310,1,1
1929,0.5911105086580100,0.6470050865800860,169983.42532467500,0.24051341991342000,0.21946126035714300,0.23598831168831100,-16.607088744588700,0.4852783549783550,111.35398809523800,0.6382076839826850,0.32792207792207800,7,1
1930,0.943474167309809,0.510382249173098,195908.55953693500,0.3273001929437710,0.3633766403087100,0.21732039691290000,-12.685934399117900,0.07970237045203960,110.21435556780600,0.6184581587651600,0.8715545755237050,2,1
1931,0.8758935229067950,0.5560935229067930,179379.57345971600,0.2584339699842020,0.3320111003791480,0.23911785150079000,-15.90358135860980,0.23318151658767800,108.01028120063200,0.5713129541864140,0.21169036334913100,0,1
1932,0.9400876826722350,0.5600509394572020,193462.6847599170,0.3054784968684760,0.2264179156784970,0.23631983298538600,-13.288906054279700,0.14177640918580400,116.22583298538600,0.5936018789144050,1.5427974947807900,7,1
1933,0.9050108604501610,0.6037663987138260,192454.038585209,0.28736061093247600,0.13055586204180100,0.21015546623794200,-12.768765273311900,0.09617057877813510,115.05368167202600,0.6351533762057880,7.069131832797430,5,1
1934,0.892853750180506,0.5298339350180500,187911.9963898920,0.2599906137184120,0.2738650765703980,0.21632815884476500,-14.86393862815890,0.10440938628158800,115.9882870036100,0.5642550541516250,1.0469314079422400,0,1
1935,0.781330268886046,0.5533638924455830,222171.39500640200,0.244698444302177,0.2264789074391810,0.2281231754161330,-15.494480153649200,0.35480512163892500,110.66441549295800,0.5419636363636370,1.3629961587708100,7,1
1936,0.7959034990512340,0.5329999051233390,248519.7163187860,0.30619788444022800,0.30175658639468700,0.22557020872865300,-13.795905123339600,0.21486518026565500,109.98164136622400,0.551709013282732,5.010436432637570,10,1
1937,0.8996308724832220,0.5568880872483220,205470.5755033560,0.28699619127516700,0.33573397872483200,0.21799093959731500,-13.421020134228200,0.0864667785234899,114.59116946308700,0.5945649328859050,3.5503355704698000,7,1
1938,0.9161265270833350,0.48698177083333400,244455.01909722200,0.28362708333333400,0.36412720875000000,0.23453784722222200,-14.30434895833330,0.09839027777777790,112.1711232638890,0.5216277951388890,2.03125,0,1
1939,0.8828339079079080,0.5130918918918920,215190.85085085100,0.2956483483483490,0.2661899461261270,0.23470110110110100,-13.818992992993000,0.1273245245245240,113.99698998999000,0.5624765765765760,4.22022022022022,0,1
1940,0.8471105499999960,0.5216393500000010,182824.4695,0.30980334500000000,0.31548553683000000,0.26434720000000000,-13.728306000000000,0.24409250000000000,108.30763350000000,0.6159074700000000,0.827,7,1
1941,0.8995705486542470,0.4804421325051770,202571.47619047600,0.26147191511387200,0.44821766074534100,0.20093964803312600,-15.909319875776400,0.09385559006211210,107.39508695652200,0.48007132505175900,1.2401656314699800,7,1
1942,0.8510355433596100,0.4658139478471800,221935.65676167400,0.25730349909035800,0.3902667347604610,0.21330151607034600,-15.030010915706500,0.082634930260764,106.19702971497900,0.47381061249241900,0.9539114614918130,7,1
1943,0.9157940063091510,0.4674970031545740,216915.67507886400,0.27516077287066300,0.3957950389747640,0.23569274447949500,-13.597561514195600,0.11305520504731900,106.34442271293400,0.5170239747634070,1.1845425867507900,5,1
1944,0.893705468530561,0.507083485045514,247493.17945383600,0.2609407932379720,0.43948337853055900,0.23599427828348500,-14.489404421326400,0.17181950585175500,107.23293107932400,0.5481591677503250,2.6788036410923300,10,1
1945,0.7013868079999980,0.5200316500000000,194490.685,0.22702810050000000,0.27044832101999900,0.20299625000000000,-17.014042500000000,0.31295845000000000,108.12067600000000,0.49426055000000100,1.7565,0,1
1946,0.9242169261477030,0.4035145043246840,262658.9128409850,0.2042521357285430,0.4953751797072530,0.20783932135728600,-17.71348436460410,0.08802501663339990,102.59053093812400,0.3736228210246180,1.6453759148369900,7,1
